"state","county","cases","deaths"
"上海市","嘉定区","2637","2"
"上海市","境外来沪","1","0"
"上海市","境外输入","5472","0"
"上海市","外地来沪","113","1"
"上海市","奉贤区","250","0"
"上海市","宝山区","3155","1"
"上海市","崇明区","398","0"
"上海市","待明确地区","0","588"
"上海市","徐汇区","4699","1"
"上海市","普陀区","1790","0"
"上海市","杨浦区","2408","0"
"上海市","松江区","2982","0"
"上海市","浦东新区","17167","1"
"上海市","虹口区","3700","0"
"上海市","金山区","338","0"
"上海市","长宁区","2403","0"
"上海市","闵行区","5447","0"
"上海市","青浦区","1326","0"
"上海市","静安区","3265","1"
"上海市","黄浦区","6625","0"
"云南省","临沧","14","0"
"云南省","丽江","18","0"
"云南省","保山","11","0"
"云南省","境外输入","1698","0"
"云南省","大理州","13","0"
"云南省","待明确地区","13","0"
"云南省","德宏州","392","0"
"云南省","文山州","13","0"
"云南省","昆明","107","0"
"云南省","昭通","26","0"
"云南省","普洱","12","0"
"云南省","曲靖","15","0"
"云南省","楚雄州","4","0"
"云南省","玉溪","14","1"
"云南省","红河州","39","0"
"云南省","西双版纳","21","1"
"云南省","迪庆州","1","0"
"内蒙古自治区","乌兰察布","93","0"
"内蒙古自治区","乌海市","3","0"
"内蒙古自治区","兴安盟","3","0"
"内蒙古自治区","包头","44","0"
"内蒙古自治区","呼伦贝尔","677","0"
"内蒙古自治区","呼和浩特","484","0"
"内蒙古自治区","境外输入人员","462","0"
"内蒙古自治区","巴彦淖尔","45","1"
"内蒙古自治区","赤峰","360","0"
"内蒙古自治区","通辽","20","0"
"内蒙古自治区","鄂尔多斯","29","0"
"内蒙古自治区","锡林郭勒盟","396","0"
"内蒙古自治区","阿拉善盟","174","0"
"北京市","东城区","84","0"
"北京市","丰台区","736","0"
"北京市","境外输入","1128","0"
"北京市","外地来京","27","0"
"北京市","大兴区","172","0"
"北京市","密云区","10","0"
"北京市","延庆区","10","0"
"北京市","待明确地区","108","9"
"北京市","怀柔区","10","0"
"北京市","房山区","335","0"
"北京市","昌平区","165","0"
"北京市","朝阳区","655","0"
"北京市","海淀区","377","0"
"北京市","石景山区","36","0"
"北京市","经济开发区","14","0"
"北京市","西城区","115","0"
"北京市","通州区","117","0"
"北京市","门头沟区","18","0"
"北京市","顺义区","110","0"
"吉林省","公主岭","6","0"
"吉林省","吉林市","14114","3"
"吉林省","四平","244","1"
"吉林省","延边","194","0"
"吉林省","待明确地区","0","0"
"吉林省","松原","18","0"
"吉林省","梅河口","2","0"
"吉林省","白城","145","0"
"吉林省","白山","25","0"
"吉林省","辽源","9","0"
"吉林省","通化","314","1"
"吉林省","长春","25258","0"
"四川省","乐山","16","0"
"四川省","内江","310","0"
"四川省","凉山州","40","0"
"四川省","南充","77","0"
"四川省","宜宾","271","0"
"四川省","巴中","44","0"
"四川省","广元","26","0"
"四川省","广安","261","0"
"四川省","待明确地区","182","0"
"四川省","德阳","23","0"
"四川省","成都","3678","3"
"四川省","攀枝花","20","0"
"四川省","泸州","90","0"
"四川省","甘孜州","95","0"
"四川省","眉山","37","0"
"四川省","绵阳","83","0"
"四川省","自贡","19","0"
"四川省","资阳","47","0"
"四川省","达州","48","0"
"四川省","遂宁","166","0"
"四川省","阿坝州","109","0"
"四川省","雅安","8","0"
"天津市","东丽区","46","0"
"天津市","北辰区","40","0"
"天津市","南开区","50","0"
"天津市","和平区","16","0"
"天津市","境外输入","876","0"
"天津市","外地来津","9","0"
"天津市","宁河区","6","0"
"天津市","宝坻区","67","2"
"天津市","待明确地区","81","0"
"天津市","武清区","151","0"
"天津市","河东区","59","1"
"天津市","河北区","125","0"
"天津市","河西区","62","0"
"天津市","津南区","370","0"
"天津市","滨海新区","123","0"
"天津市","红桥区","38","0"
"天津市","蓟州区","1","0"
"天津市","西青区","244","0"
"天津市","静海区","11","0"
"宁夏回族自治区","吴忠","39","0"
"宁夏回族自治区","固原","5","0"
"宁夏回族自治区","宁东","1","0"
"宁夏回族自治区","石嘴山","1","0"
"宁夏回族自治区","银川","74","0"
"安徽省","亳州","108","0"
"安徽省","六安","84","0"
"安徽省","合肥","178","1"
"安徽省","境外输入","17","0"
"安徽省","安庆","85","0"
"安徽省","宣城","9","0"
"安徽省","宿州","423","0"
"安徽省","池州","21","0"
"安徽省","淮北","28","0"
"安徽省","淮南","36","0"
"安徽省","滁州","15","0"
"安徽省","芜湖","40","0"
"安徽省","蚌埠","216","5"
"安徽省","铜陵","33","0"
"安徽省","阜阳","163","0"
"安徽省","马鞍山","41","0"
"安徽省","黄山","9","0"
"山东省","东营","2","0"
"山东省","临沂","85","0"
"山东省","境外输入","607","0"
"山东省","威海","108","1"
"山东省","德州","118","2"
"山东省","日照","37","0"
"山东省","枣庄","33","0"
"山东省","泰安","48","2"
"山东省","济南","143","0"
"山东省","济宁","285","0"
"山东省","淄博","77","1"
"山东省","滨州","217","0"
"山东省","潍坊","52","0"
"山东省","烟台","97","0"
"山东省","聊城","38","0"
"山东省","菏泽","37","0"
"山东省","青岛","1122","1"
"山西省","临汾","3","0"
"山西省","吕梁","10","0"
"山西省","境外输入","145","0"
"山西省","大同","18","0"
"山西省","太原","130","0"
"山西省","忻州","14","0"
"山西省","晋中","62","0"
"山西省","晋城","18","0"
"山西省","朔州","20","0"
"山西省","运城","45","0"
"山西省","长治","8","0"
"山西省","阳泉","9","0"
"广东省","东莞","499","1"
"广东省","中山","166","0"
"广东省","云浮","7","0"
"广东省","佛山","484","0"
"广东省","广州","3590","1"
"广东省","待明确地区","0","0"
"广东省","惠州","170","0"
"广东省","揭阳","11","0"
"广东省","梅州","29","0"
"广东省","汕头","35","0"
"广东省","汕尾","16","0"
"广东省","江门","176","0"
"广东省","河源","9","0"
"广东省","深圳","3791","3"
"广东省","清远","30","0"
"广东省","湛江","318","0"
"广东省","潮州","7","0"
"广东省","珠海","480","1"
"广东省","肇庆","66","1"
"广东省","茂名","104","0"
"广东省","阳江","53","0"
"广东省","韶关","14","1"
"广西壮族自治区","北海","596","1"
"广西壮族自治区","南宁","62","0"
"广西壮族自治区","境外输入","1034","0"
"广西壮族自治区","崇左","33","0"
"广西壮族自治区","来宾","11","0"
"广西壮族自治区","柳州","24","0"
"广西壮族自治区","桂林","34","0"
"广西壮族自治区","梧州","21","0"
"广西壮族自治区","河池","30","1"
"广西壮族自治区","玉林","12","0"
"广西壮族自治区","百色","284","0"
"广西壮族自治区","贵港","8","0"
"广西壮族自治区","贺州","4","0"
"广西壮族自治区","钦州","27","0"
"广西壮族自治区","防城港","149","0"
"新疆维吾尔自治区","乌鲁木齐","970","0"
"新疆维吾尔自治区","伊犁州","47","0"
"新疆维吾尔自治区","兵团第七师","1","0"
"新疆维吾尔自治区","兵团第九师","4","1"
"新疆维吾尔自治区","兵团第十二师","3","0"
"新疆维吾尔自治区","兵团第四师","14","1"
"新疆维吾尔自治区","博尔塔拉","1","0"
"新疆维吾尔自治区","吐鲁番","3","0"
"新疆维吾尔自治区","哈密","8","0"
"新疆维吾尔自治区","喀什地区","80","0"
"新疆维吾尔自治区","境外输入","6","0"
"新疆维吾尔自治区","巴州","14","0"
"新疆维吾尔自治区","待明确地区","1","0"
"新疆维吾尔自治区","昌吉州","11","0"
"新疆维吾尔自治区","阿克苏地区","1","0"
"江苏省","南京","397","0"
"江苏省","南通","41","0"
"江苏省","境外输入","346","0"
"江苏省","宿迁","30","0"
"江苏省","常州","84","0"
"江苏省","徐州","161","0"
"江苏省","扬州","594","0"
"江苏省","无锡","103","0"
"江苏省","泰州","47","0"
"江苏省","淮安","83","0"
"江苏省","盐城","68","0"
"江苏省","苏州","228","0"
"江苏省","连云港","205","0"
"江苏省","镇江","24","0"
"江西省","上饶","328","0"
"江西省","九江","121","0"
"江西省","南昌","483","0"
"江西省","吉安","44","0"
"江西省","境外输入","44","0"
"江西省","宜春","109","0"
"江西省","抚州","73","0"
"江西省","新余","129","0"
"江西省","景德镇","6","0"
"江西省","萍乡","33","0"
"江西省","赣州","76","1"
"江西省","赣江新区","1","0"
"江西省","鹰潭","48","0"
"河北省","保定","66","0"
"河北省","唐山","96","1"
"河北省","境外输入","37","0"
"河北省","廊坊","317","0"
"河北省","张家口","43","0"
"河北省","待明确","0","0"
"河北省","承德","8","0"
"河北省","沧州","138","3"
"河北省","石家庄","1067","1"
"河北省","秦皇岛","22","1"
"河北省","衡水","14","0"
"河北省","邢台","137","1"
"河北省","邯郸","64","0"
"河北省","雄安新区","20","0"
"河南省","三门峡","10","1"
"河南省","信阳","295","2"
"河南省","南阳","161","3"
"河南省","周口","184","1"
"河南省","商丘","114","3"
"河南省","境外输入","227","0"
"河南省","安阳","579","0"
"河南省","平顶山","73","1"
"河南省","开封","58","0"
"河南省","待明确地区","7","0"
"河南省","新乡","57","3"
"河南省","洛阳","54","1"
"河南省","济源","5","0"
"河南省","漯河","44","0"
"河南省","濮阳","27","0"
"河南省","焦作","46","1"
"河南省","许昌","568","1"
"河南省","郑州","636","5"
"河南省","驻马店","163","0"
"河南省","鹤壁","22","0"
"浙江省","丽水","23","0"
"浙江省","台州","156","0"
"浙江省","嘉兴","178","0"
"浙江省","境外输入","687","0"
"浙江省","宁波","345","0"
"浙江省","待明确地区","0","0"
"浙江省","杭州","538","0"
"浙江省","温州","582","1"
"浙江省","湖州","37","0"
"浙江省","省十里丰监狱","36","0"
"浙江省","绍兴","455","0"
"浙江省","舟山","30","0"
"浙江省","衢州","118","0"
"浙江省","金华","240","0"
"海南省","万宁","268","0"
"海南省","三亚","6724","1"
"海南省","东方","407","1"
"海南省","临高","196","0"
"海南省","乐东","446","0"
"海南省","五指山","7","0"
"海南省","保亭","3","0"
"海南省","儋州","471","1"
"海南省","境外输入","23","0"
"海南省","定安","6","1"
"海南省","待明确地区","0","0"
"海南省","文昌","3","0"
"海南省","昌江","8","0"
"海南省","海口","123","0"
"海南省","澄迈","40","1"
"海南省","琼中","1","0"
"海南省","琼海","20","1"
"海南省","陵水","209","0"
"湖北省","仙桃","575","22"
"湖北省","十堰","674","8"
"湖北省","咸宁","836","15"
"湖北省","境外输入","135","0"
"湖北省","天门","498","15"
"湖北省","孝感","3518","129"
"湖北省","宜昌","932","37"
"湖北省","恩施州","254","7"
"湖北省","武汉","50429","3869"
"湖北省","潜江","200","9"
"湖北省","神农架林区","11","0"
"湖北省","荆州","1582","52"
"湖北省","荆门","971","41"
"湖北省","襄阳","1184","40"
"湖北省","鄂州","1395","59"
"湖北省","随州","1307","45"
"湖北省","黄冈","2913","125"
"湖北省","黄石","1015","39"
"湖南省","境外输入","153","0"
"湖南省","娄底","93","0"
"湖南省","岳阳","168","1"
"湖南省","常德","82","0"
"湖南省","张家界","77","0"
"湖南省","待明确地区","0","0"
"湖南省","怀化","65","0"
"湖南省","株洲","110","0"
"湖南省","永州","47","0"
"湖南省","湘潭","42","0"
"湖南省","湘西自治州","13","0"
"湖南省","益阳","69","0"
"湖南省","衡阳","60","0"
"湖南省","邵阳","155","1"
"湖南省","郴州","40","0"
"湖南省","长沙","283","2"
"甘肃省","临夏","82","0"
"甘肃省","兰州","865","2"
"甘肃省","嘉峪关","5","0"
"甘肃省","境外输入","186","0"
"甘肃省","天水","57","0"
"甘肃省","定西","15","0"
"甘肃省","平凉","9","0"
"甘肃省","庆阳","8","0"
"甘肃省","张掖","19","0"
"甘肃省","待明确地区","0","0"
"甘肃省","武威","8","0"
"甘肃省","甘南","49","0"
"甘肃省","白银","29","0"
"甘肃省","省级（湖北输入）","1","0"
"甘肃省","酒泉","1","0"
"甘肃省","金昌","1","0"
"甘肃省","陇南","15","0"
"福建省","三明","16","0"
"福建省","南平","23","0"
"福建省","厦门","413","0"
"福建省","境外输入人员","2172","0"
"福建省","宁德","93","0"
"福建省","待明确地区","0","0"
"福建省","泉州","1207","0"
"福建省","漳州","42","0"
"福建省","福州","74","1"
"福建省","莆田","326","0"
"福建省","龙岩","6","0"
"西藏自治区","山南","12","0"
"西藏自治区","待明确地区","8","0"
"西藏自治区","拉萨","700","0"
"西藏自治区","日喀则","239","0"
"西藏自治区","昌都","216","0"
"西藏自治区","林芝","109","0"
"西藏自治区","那曲","84","0"
"西藏自治区","阿里地区","17","0"
"贵州省","六盘水","10","1"
"贵州省","境外输入","1","0"
"贵州省","安顺","6","0"
"贵州省","毕节","512","0"
"贵州省","贵阳","270","1"
"贵州省","遵义","62","0"
"贵州省","铜仁","13","0"
"贵州省","黔东南州","14","0"
"贵州省","黔南州","25","0"
"贵州省","黔西南州","8","0"
"辽宁省","丹东","83","0"
"辽宁省","境外输入","295","0"
"辽宁省","大连","665","0"
"辽宁省","待明确地区","13","0"
"辽宁省","抚顺","1","0"
"辽宁省","朝阳","7","1"
"辽宁省","本溪","16","0"
"辽宁省","沈阳","260","0"
"辽宁省","盘锦","14","0"
"辽宁省","营口","218","0"
"辽宁省","葫芦岛","227","1"
"辽宁省","辽阳","12","0"
"辽宁省","铁岭","30","0"
"辽宁省","锦州","20","0"
"辽宁省","阜新","10","0"
"辽宁省","鞍山","19","0"
"重庆市","万州区","118","4"
"重庆市","万盛经开区","3","0"
"重庆市","两江新区","18","0"
"重庆市","丰都县","10","0"
"重庆市","九龙坡区","60","1"
"重庆市","云阳县","28","0"
"重庆市","北碚区","17","0"
"重庆市","南岸区","27","0"
"重庆市","合川区","30","0"
"重庆市","垫江县","20","0"
"重庆市","城口县","2","0"
"重庆市","境外输入","124","0"
"重庆市","大渡口区","9","0"
"重庆市","大足区","15","0"
"重庆市","奉节县","22","0"
"重庆市","巫山县","11","0"
"重庆市","巫溪县","15","0"
"重庆市","巴南区","25","0"
"重庆市","开州区","26","1"
"重庆市","彭水县","10","0"
"重庆市","忠县","22","0"
"重庆市","梁平区","4","0"
"重庆市","武隆区","1","0"
"重庆市","永川区","9","0"
"重庆市","江北区","30","0"
"重庆市","江津区","21","0"
"重庆市","沙坪坝区","106","0"
"重庆市","涪陵区","6","0"
"重庆市","渝中区","47","0"
"重庆市","渝北区","22","0"
"重庆市","潼南区","23","0"
"重庆市","璧山区","16","0"
"重庆市","石柱县","15","0"
"重庆市","秀山县","1","0"
"重庆市","綦江区","23","0"
"重庆市","荣昌区","10","0"
"重庆市","酉阳县","1","0"
"重庆市","铜梁区","12","0"
"重庆市","长寿区","31","0"
"重庆市","高新区","51","0"
"重庆市","黔江区","2","0"
"陕西省","咸阳","48","0"
"陕西省","商洛","99","0"
"陕西省","境外输入","602","0"
"陕西省","安康","34","0"
"陕西省","宝鸡","261","0"
"陕西省","延安","23","0"
"陕西省","待明确地区","0","0"
"陕西省","杨凌","3","0"
"陕西省","榆林","41","0"
"陕西省","汉中","71","0"
"陕西省","渭南","63","0"
"陕西省","西安","2473","3"
"陕西省","铜川","27","0"
"陕西省","韩城","1","0"
"青海省","待明确地区","50","0"
"青海省","海东藏族自治州","10","0"
"青海省","海北藏族自治州","7","0"
"青海省","海南藏族自治州","5","0"
"青海省","海西蒙古族藏族自治州","47","0"
"青海省","玉树藏族自治州","5","0"
"青海省","西宁","114","0"
"青海省","黄南藏族自治州","1","0"
"黑龙江省","七台河","18","0"
"黑龙江省","伊春","1","0"
"黑龙江省","佳木斯","155","0"
"黑龙江省","双鸭山","52","3"
"黑龙江省","哈尔滨","1422","4"
"黑龙江省","境外输入","534","0"
"黑龙江省","大兴安岭","4","0"
"黑龙江省","大庆","152","1"
"黑龙江省","待明确","2","0"
